,v0,mass,A,rho,w,gamma,a,TT
0,304.56968721795624,49279625712056.81,46209367163953.41,10.49207176937007,362.6820285634844,1.6455685000957935e-06,0.00045002189221537563,100.84947018962478
1,311.2869555468896,2849888347660.1147,46209367163953.41,9.421017284535726,376.3891633751497,2.5550068469420926e-05,0.0014942376508252113,98.26320580198481
2,142.296875431638,359210829594611.75,46209367163953.41,13.556187626586354,337.9814856483932,2.9168242572231315e-07,0.0002448578722924375,113.14389592117625
3,307.25118796491654,121118052416748.05,46209367163953.41,3.156807323241233,433.8961018281312,2.014472346454238e-07,0.0035330429569245345,70.88770052218257
4,177.88683531897277,998861646702763.4,76343875785940.8,10.483931266749781,324.2145577579942,1.3402478642857384e-07,0.0002355960319301092,120.93665479030992
5,143.71566063584063,12625552246374.896,16568085559085.975,7.94278420141613,359.9275655043691,1.7433588910513331e-06,0.00039751448975643437,102.56318771520552
6,388.95269421413786,319508747201351.25,46209367163953.41,14.831400231790232,409.05245934703026,3.587744568988093e-07,0.0006979879768259299,85.24717439465242
7,350.15993366524464,572352795196160.4,89070356774969.36,8.483728310613913,382.51687802082256,2.208249944123944e-07,0.0003763960554480122,93.65005465121521
8,266.8492469410761,116890327833042.55,46209367163953.41,6.9744077674674445,380.3802980196003,4.611591946122142e-07,0.0001272823912105801,100.98823992204056
9,166.07184390401716,303311559680046.2,16568085559085.975,13.103439205219942,402.0538827475998,1.1971835944908161e-07,0.00017588790187593548,104.03666147925881
10,166.4844893771778,132244838254874.4,76343875785940.8,6.732665007689194,361.33521814260524,6.500916277974504e-07,0.0015267495538928179,95.56091942141614
11,446.2102249101345,39879231078116.78,46209367163953.41,4.577364586592679,477.00864034195257,8.871373061309136e-07,0.0016546973072525022,73.36712597522983
12,249.8400875434627,25518145665145.9,14883968884841.734,6.395677421872511,357.315452836599,6.239478389558233e-07,0.0002182459725641185,104.79599078283205
13,308.27011402311183,175550132915446.47,46209367163953.41,5.133498567305314,420.1841636169711,2.2601350788169842e-07,0.00021961268763126963,92.18999990468659
14,285.7341250873558,5270877306097.681,89070356774969.36,6.182191141482851,325.56524036991453,1.747369721162788e-05,0.00013711180583131797,115.01503032354019
15,260.6530600772152,6675888751935.373,46209367163953.41,7.946397411376997,387.3408469398011,9.199904166831203e-06,0.0002277805307417526,96.49066694053495
16,310.1490346517391,12984883950422.28,14883968884841.734,6.128423062418662,362.3611540419119,1.1749557516621598e-06,0.00020269522224970846,102.53228476171434
17,223.57722949605883,852479654053480.0,46209367163953.41,5.393931635957341,306.6427751715511,4.890390381163493e-08,0.0016958606532203938,90.26969492084551
18,383.1405016989168,1249488945597.4353,46209367163953.41,5.644883596265763,384.093111104413,3.491762414216742e-05,0.0014239223396799467,96.53974882605118
19,256.8167796974522,1205027318340.775,46209367163953.41,10.372313941411337,363.4617912309766,6.652744949466836e-05,0.0020454535308778213,102.19746891788502
20,290.01912999124227,8207752998690.385,46209367163953.41,11.35032500631485,299.1177447225071,1.0688238402680426e-05,0.001876293822519574,120.78297650695912
21,282.43286829434203,73582571256451.88,46209367163953.41,7.0368832556554475,375.562737665747,7.391413514567939e-07,0.0004512123963046948,97.32115427379466
22,357.2880843105201,13974440302979.441,46209367163953.41,5.332151614653313,424.17901765248274,2.949104625140035e-06,0.0035330429569245345,82.67695254739981
23,246.12476554323453,19214276773508.105,46209367163953.41,8.728403143121582,296.0742064581486,3.5110164814383483e-06,0.0002329010493530555,124.91278717805409
24,411.19319966471284,184963265937097.47,46209367163953.41,14.872927921941265,427.9507528480951,6.214885064014139e-07,0.0035330429569245345,75.70957488935008
25,406.096060810788,1039457038941512.5,46209367163953.41,5.55993015599507,429.370935565788,4.1341373839918866e-08,0.001237954861698702,71.52682318923095
26,327.68073024935154,134572899438973.88,42079294620252.47,9.276029031627143,393.62136452380906,4.851377091787704e-07,0.0009206563278846255,89.19124277872679
27,258.68075733208104,252175399343504.12,42079294620252.47,8.57032177662077,444.85155607516674,2.3919657362116656e-07,0.0035330429569245345,71.23916391747356
28,384.3935757661728,1090131525817.5112,46209367163953.41,5.14441661055916,428.65268748356345,3.647366004191239e-05,0.0003941524296722691,87.34190490811616
29,444.7168903003651,604945782843180.5,46209367163953.41,5.572730426969546,468.90698747336774,7.119896738078612e-08,0.0011954287543544987,68.71163926854047
30,339.3636957402248,8400801976914.511,46209367163953.41,17.14109884081651,403.8248191182756,1.5770302536349982e-05,0.0008689044211981279,91.83278293798588
31,233.46214830593277,209834152345367.9,46209367163953.41,16.36379075306903,380.0584456627909,6.02739780995736e-07,0.00014566607523354454,100.38198202061297
32,274.9117053024728,282407812628375.6,46209367163953.41,6.244289065537513,462.91091055896254,1.7089462596211056e-07,0.00021163209983675893,86.94737971731445
33,293.6687499566308,54310437197169.22,89070356774969.36,7.3961219387165045,406.8527465357811,2.028831822310453e-06,0.0011037588372464558,88.78015818302364
34,109.77996721355315,221304427273812.38,46209367163953.41,11.100223701509051,348.1224774785843,3.8767138184504815e-07,0.0004287998782756718,106.53461848054792
35,248.2500026460791,1417272492891862.5,46209367163953.41,10.303003805600287,399.07805486906165,5.618658225078279e-08,0.0035330429569245345,68.5452447997078
